source,text
App Store review,I love the product but I genuinely can't figure out the pricing tiers. Spent 20 minutes on the pricing page still confused which plan I need.
Support ticket,Why is there no CSV export? I need this data in Excel for my manager every week and I'm stuck copy-pasting rows manually.
Survey response,"The dashboard takes forever to load, especially in the mornings. Sometimes I just give up and check back later."
App Store review,First week was rough — nobody explained what to do after signup. Just dropped into an empty dashboard with no guidance.
Support ticket,"Your support team resolved my billing issue in literally 10 minutes over chat. Genuinely impressed, wanted to say thanks."
Survey response,Confusing pricing page. I upgraded thinking I'd get feature X and didn't — had to email support to understand the difference between plans.
App Store review,Mobile app crashes every time I try to attach a photo to a report. Happens on both wifi and mobile data.
Support ticket,Please add export to Excel or Google Sheets. Being locked into your UI for reporting is a dealbreaker for my team.
Survey response,Loading is painfully slow when I have more than a few hundred rows. Feels like it's not built for real data volume.
App Store review,Onboarding just throws you in with zero tooltips. A short walkthrough would've saved me an hour of clicking around confused.
Support ticket,"Whoever handled my refund request was fantastic — fast, clear, no hassle at all."
Survey response,I still don't understand what's different between the Pro and Business plans. The comparison table doesn't help much.
App Store review,Export feature would change everything for me. Right now I screenshot tables which is embarrassing honestly.
Support ticket,App froze and crashed twice today on Android while uploading images.
Survey response,"Dashboard load time got noticeably worse over the last month. Used to be fast, now it's a coffee-break wait."
App Store review,New user here — wish there was a guided setup instead of a blank screen. Almost gave up on day one.
Support ticket,"Billing was unclear so I contacted support, and honestly the rep was excellent and patient with me."
Survey response,"Would pay more for a real export function. CSV, Excel, anything — just get my data out of here easily."
App Store review,"Crashes when attaching files on mobile, very frustrating during client visits."
Support ticket,Pricing page doesn't clarify what happens if I go over my usage limit. Found out the hard way with a surprise charge.
Survey response,"Big pages load slowly, especially on my laptop which isn't old. Might be a backend issue on your end."
App Store review,No onboarding checklist or tour at all. Felt lost for the first few days using this.
Support ticket,Just wanted to flag — your live chat support has been consistently great every time I've used it.
Survey response,I need to export reports weekly and currently rely on a third-party workaround because you don't support it natively.
